product_id	store_id	date	sales
4	6	1997-01-01	4
25	6	1997-01-01	3
48	6	1997-01-01	3
76	6	1997-01-01	4
119	6	1997-01-01	3
131	6	1997-01-01	4
170	6	1997-01-01	4
181	6	1997-01-01	4
190	6	1997-01-01	4
212	6	1997-01-01	3
236	6	1997-01-01	3
238	6	1997-01-01	3
250	6	1997-01-01	5
275	6	1997-01-01	4
282	6	1997-01-01	2
320	6	1997-01-01	3
357	6	1997-01-01	4
367	6	1997-01-01	4
417	6	1997-01-01	2
442	6	1997-01-01	3
494	6	1997-01-01	4
505	6	1997-01-01	4
507	6	1997-01-01	2
517	6	1997-01-01	4
519	6	1997-01-01	4
524	6	1997-01-01	2
534	6	1997-01-01	3
536	6	1997-01-01	4
544	6	1997-01-01	2
558	6	1997-01-01	3
565	6	1997-01-01	4
574	6	1997-01-01	4
586	6	1997-01-01	3
596	6	1997-01-01	3
600	6	1997-01-01	4
603	6	1997-01-01	2
616	6	1997-01-01	4
627	6	1997-01-01	2
628	6	1997-01-01	4
657	6	1997-01-01	2
702	6	1997-01-01	5
704	6	1997-01-01	4
707	6	1997-01-01	3
721	6	1997-01-01	2
738	6	1997-01-01	4
752	6	1997-01-01	2
769	6	1997-01-01	4
786	6	1997-01-01	3
791	6	1997-01-01	3
797	6	1997-01-01	3
798	6	1997-01-01	3
817	6	1997-01-01	3
830	6	1997-01-01	3
831	6	1997-01-01	2
846	6	1997-01-01	2
851	6	1997-01-01	4
860	6	1997-01-01	4
869	6	1997-01-01	5
885	6	1997-01-01	4
887	6	1997-01-01	5
920	6	1997-01-01	2
927	6	1997-01-01	5
952	6	1997-01-01	4
967	6	1997-01-01	4
974	6	1997-01-01	3
987	6	1997-01-01	4
1037	6	1997-01-01	3
1039	6	1997-01-01	3
1046	6	1997-01-01	2
1067	6	1997-01-01	3
1070	6	1997-01-01	2
1093	6	1997-01-01	4
1135	6	1997-01-01	3
1143	6	1997-01-01	2
1164	6	1997-01-01	2
1173	6	1997-01-01	3
1179	6	1997-01-01	3
1217	6	1997-01-01	2
1222	6	1997-01-01	4
1233	6	1997-01-01	4
1247	6	1997-01-01	3
1257	6	1997-01-01	4
1285	6	1997-01-01	4
1290	6	1997-01-01	3
1301	6	1997-01-01	2
1349	6	1997-01-01	3
1350	6	1997-01-01	3
1359	6	1997-01-01	4
1360	6	1997-01-01	4
1361	6	1997-01-01	2
1420	6	1997-01-01	2
1426	6	1997-01-01	5
1432	6	1997-01-01	4
1449	6	1997-01-01	3
1461	6	1997-01-01	2
1472	6	1997-01-01	3
1483	6	1997-01-01	2
1487	6	1997-01-01	4
1537	6	1997-01-01	4
76	14	1997-01-01	2
84	14	1997-01-01	1
186	14	1997-01-01	2
209	14	1997-01-01	1
240	14	1997-01-01	2
243	14	1997-01-01	2
440	14	1997-01-01	1
761	14	1997-01-01	1
785	14	1997-01-01	2
932	14	1997-01-01	2
966	14	1997-01-01	1
1022	14	1997-01-01	1
1152	14	1997-01-01	1
1175	14	1997-01-01	1
1245	14	1997-01-01	1
1345	14	1997-01-01	1
1435	14	1997-01-01	1
1468	14	1997-01-01	1
26	11	1997-01-02	5
32	11	1997-01-02	3
48	11	1997-01-02	4
66	11	1997-01-02	3
107	11	1997-01-02	4
114	11	1997-01-02	4
119	11	1997-01-02	3
143	11	1997-01-02	3
158	11	1997-01-02	2
162	11	1997-01-02	4
190	11	1997-01-02	2
199	11	1997-01-02	2
203	11	1997-01-02	3
214	11	1997-01-02	2
245	11	1997-01-02	3
250	11	1997-01-02	3
254	11	1997-01-02	8
270	11	1997-01-02	3
292	11	1997-01-02	3
302	11	1997-01-02	2
309	11	1997-01-02	2
318	11	1997-01-02	3
320	11	1997-01-02	4
324	11	1997-01-02	2
345	11	1997-01-02	4
362	11	1997-01-02	3
367	11	1997-01-02	2
386	11	1997-01-02	2
387	11	1997-01-02	2
392	11	1997-01-02	2
399	11	1997-01-02	4
